github_pr,merged,state,draft,base,head,head_sha,commits,title,url,lineage_role
2,true,closed,false,research/pr04-multicomponent,agent/ma01-clean-clone-harness,8b9cd38edb074046d8ca8bb2a45203959c14baff,1,MA-01: make harness runtime state clone-safe,https://github.com/cosmosapjw-quantum/htt_base/pull/2,accepted_target_history
3,true,closed,false,research/pr04-multicomponent,agent/ma02-required-baseline-ci,8368611597d4000bca19652795a398d98e0a8e36,2,MA-02: add required repository integrity CI,https://github.com/cosmosapjw-quantum/htt_base/pull/3,accepted_target_history
4,true,closed,false,research/pr04-multicomponent,agent/egs3-endpoint-integrity,e7a52865b7828a429a42879cdd28f831d4f6bf87,3,EGS3: harden rank-2 identified-set endpoint integrity,https://github.com/cosmosapjw-quantum/htt_base/pull/4,accepted_target_history
5,true,closed,false,research/pr04-multicomponent,agent/ma03-unified-strict-result-validation,74cc247c54f71d35cb621389f1f2d0d4d126af17,2,MA-03: unify strict harness result validation,https://github.com/cosmosapjw-quantum/htt_base/pull/5,accepted_target_history
6,true,closed,false,agent/new-task-ma03-integration,research/pr04-multicomponent,83aac7b6e2275905741fe1a76fbc76ed9884caff,6,Sync canonical MA-01–03 baseline into new_task integration,https://github.com/cosmosapjw-quantum/htt_base/pull/6,merged_non_target_history
7,true,closed,false,agent/new-task-ma03-integration,agent/pr251-lowell-pole-identifiability,e2d70f8807e653d01f8c4990579c982d502513bc,4,[PR-251] Add identifiability-aware low-ell pole kernel,https://github.com/cosmosapjw-quantum/htt_base/pull/7,merged_non_target_history
8,true,closed,false,agent/new-task-ma03-integration,agent/ma04-cas-execution-evidence,46389f651d8f946881e4d2e416381106c69c19a7,4,MA-04: require runner-observed CAS execution,https://github.com/cosmosapjw-quantum/htt_base/pull/8,merged_non_target_history
9,true,closed,false,agent/new-task-ma03-integration,agent/ma05-live-context-authority,6e2b728ae70ec11960a85a83e6e9d2a0af213bbf,1,MA-05: bind live context and narrow authority,https://github.com/cosmosapjw-quantum/htt_base/pull/9,merged_non_target_history
10,true,closed,false,agent/new-task-ma03-integration,agent/pr251-alignment-minislice,88422a43dab41f8052e5c2a6c4e33103f824224a,1,[science interleave] Add mean-squared multipole alignment,https://github.com/cosmosapjw-quantum/htt_base/pull/10,merged_non_target_history
11,true,closed,false,agent/new-task-ma03-integration,agent/ma06-claim-evidence-refs,ddf4f164ca779a732038e596a7c6b55841b46644,2,[MA-06] Repair claim evidence references,https://github.com/cosmosapjw-quantum/htt_base/pull/11,merged_non_target_history
