# bass_py recombination reference table
# Source: HyRec-2 (nanoomlee/HYREC-2) + sandbox post-processing
# Generated: 2026-04-18
# Cosmology: Planck 2018-like (HyRec default input.dat)
#   h         = 0.6735837
#   T_CMB     = 2.7255 K
#   Omega_b   = 0.0494142797907188
#   Omega_cb  = 0.31242079216478097
#   Y_He      = 0.245
#   N_eff     = 3.046
#   m_nu_tot  = 0.06 eV
#   Omega_m_total = 0.313841
#   Omega_r_total = 9.220339e-05
#   Omega_Lambda  = 0.686067
#   n_H(z=0)  = 1.899866e-01 /m^3
# Reionization NOT included (recombination history only).
# Columns: z, x_e, T_m[K], tau_dot[1/Mpc], kappa[dimensionless]
z,x_e,T_m,tau_dot,kappa
1.000000e+00,1.784221e-04,8.682995e-02,2.783328e-10,0.000000e+00
2.000000e+00,1.816462e-04,1.952366e-01,6.375651e-10,8.149452e-07
3.000000e+00,1.843581e-04,3.467977e-01,1.150371e-09,1.844922e-06
4.000000e+00,1.867041e-04,5.413482e-01,1.820327e-09,3.047006e-06
5.000000e+00,1.887869e-04,7.787009e-01,2.650514e-09,4.399883e-06
6.000000e+00,1.906725e-04,1.058649e+00,3.643676e-09,5.890293e-06
7.000000e+00,1.924044e-04,1.380968e+00,4.802314e-09,7.508821e-06
8.000000e+00,1.940129e-04,1.745417e+00,6.128741e-09,9.248253e-06
9.000000e+00,1.955199e-04,2.151741e+00,7.625120e-09,1.110279e-05
1.000000e+01,1.969417e-04,2.599674e+00,9.293490e-09,1.306762e-05
1.100000e+01,1.982909e-04,3.088935e+00,1.113579e-08,1.513864e-05
1.200000e+01,1.995773e-04,3.619235e+00,1.315387e-08,1.731232e-05
1.300000e+01,2.008087e-04,4.190271e+00,1.534950e-08,1.958555e-05
1.400000e+01,2.019916e-04,4.801735e+00,1.772440e-08,2.195557e-05
1.500000e+01,2.031314e-04,5.453308e+00,2.028022e-08,2.441991e-05
1.600000e+01,2.042298e-04,6.144665e+00,2.301826e-08,2.697634e-05
1.700000e+01,2.055523e-04,6.875463e+00,2.597306e-08,2.962451e-05
1.800000e+01,2.068322e-04,7.645352e+00,2.911930e-08,3.236428e-05
1.900000e+01,2.080751e-04,8.453978e+00,3.245905e-08,3.519401e-05
2.000000e+01,2.092844e-04,9.300984e+00,3.599408e-08,3.811218e-05
2.100000e+01,2.104628e-04,1.018601e+01,3.972614e-08,4.111741e-05
2.200000e+01,2.116128e-04,1.110868e+01,4.365694e-08,4.420838e-05
2.300000e+01,2.127365e-04,1.206862e+01,4.778814e-08,4.738390e-05
2.400000e+01,2.138358e-04,1.306546e+01,5.212140e-08,5.064283e-05
2.500000e+01,2.149124e-04,1.409882e+01,5.665833e-08,5.398411e-05
2.600000e+01,2.159678e-04,1.516831e+01,6.140054e-08,5.740674e-05
2.700000e+01,2.170034e-04,1.627354e+01,6.634960e-08,6.090980e-05
2.800000e+01,2.180205e-04,1.741413e+01,7.150707e-08,6.449238e-05
2.900000e+01,2.190201e-04,1.858967e+01,7.687448e-08,6.815366e-05
3.000000e+01,2.200033e-04,1.979978e+01,8.245335e-08,7.189285e-05
