# Curated JWST distance-anchor seed for diagnostic-only CF4 catalogue linkage.
# These galaxies have published JWST-based distances (TRGB / JAGB / Cepheid); the seed
# carries the anchor identity + the published JWST distance-modulus precision (jwst_e_dm_mag),
# NOT a re-derived distance. No CF4-conditioned precision/global-tilt forecast is
# authorized while N-DATA-CF4-DOWNSTREAM is OPEN. The authoritative machine-readable
# tables are fetched by dl_pipeline/scripts/download_jwst_anchors.py; this seed keeps
# catalogue-linkage mechanics reproducible offline.
# Sources: Freedman et al. 2025, ApJ 985, 203 (CCHP JWST TRGB/JAGB, doi:10.3847/1538-4357/adce78);
#          Riess et al. 2024/2025 (SH0ES JWST Cepheids). Coordinates are J2000 host centres.
name,ra_deg,dec_deg,jwst_e_dm_mag,method,source
NGC4258,184.7396,47.3040,0.022,maser+TRGB,Freedman2025
NGC1365,53.4018,-36.1404,0.045,TRGB/JAGB,Freedman2025
NGC1448,56.1329,-44.6442,0.045,TRGB/JAGB,Freedman2025
NGC1559,64.4025,-62.7836,0.040,Cepheid,Riess2024
NGC2442,114.0996,-69.5312,0.048,TRGB,Freedman2025
NGC3370,161.7670,17.2735,0.042,Cepheid,Riess2024
NGC3447,163.3546,16.7752,0.046,TRGB,Freedman2025
NGC4038,180.4712,-18.8672,0.050,TRGB,Freedman2025
NGC4536,188.6127,2.1879,0.043,TRGB/JAGB,Freedman2025
NGC5643,218.1698,-44.1745,0.041,Cepheid+TRGB,Freedman2025
NGC7250,334.5671,40.5602,0.047,Cepheid,Riess2024
NGC5457,210.8025,54.3491,0.030,Cepheid+TRGB,Riess2024
# --- v8-update additions (2026-07-10): independently verified from the raw arXiv tables.
# CCHP = Freedman et al. 2024 status report arXiv:2408.06153 Table 2 (TRGB/JAGB adopted
# average sigma-bar = combined STATISTICAL error; zeropoint systematic additional/correlated);
# SH0ES = Riess et al. 2024 arXiv:2401.04773 Table 3 (JWST+HST NIR Cepheid P-L, sigma^c).
# Anand & Riess 2024 (2401.04776) per-host values are narrative-only -> NOT seeded.
# NGC5584: mu=31.838+-0.020 (Riess 2024 Table 3)
NGC5584,215.5992,-0.3875,0.020,Cepheid,Riess2024
# NGC5468: mu=32.975+-0.026 (Riess 2024 Table 3)
NGC5468,211.6454,-5.4530,0.026,Cepheid,Riess2024
# NGC4424: mu=30.93+-0.03 (Freedman 2024 Table 2, TRGB-only 30.926+-0.030)
NGC4424,186.7982,9.4206,0.030,TRGB,Freedman2024
# NGC4639: mu=31.74+-0.03 (Freedman 2024 Table 2, TRGB 31.774+-0.073 & JAGB 31.733+-0.039)
NGC4639,190.7182,13.2574,0.030,TRGB/JAGB,Freedman2024
# NGC3972: mu=31.75+-0.07 (Freedman 2024 Table 2, TRGB-only 31.747+-0.068)
NGC3972,178.9379,55.3207,0.070,TRGB,Freedman2024
