# Source-checked transcription of published host-distance tables.
# cchp_trgb_jagb: Freedman et al. 2025, ApJ 985, 203, arXiv:2408.06153v3,
#   Ho2024.tex Table "JWST Galaxy Distance Moduli".  The seven unique hosts
#   with both TRGB and JAGB measurements are retained once; NGC 5643 hosts two
#   SNe but has one shared host-distance measurement and is not duplicated.
#   arXiv e-print archive sha256:
#   0a08d9398350e38c485960272f6c03b15ac3ddf09a3196cbe03d88a824247182
# shoes_jwst_hst: Riess et al. 2025, arXiv:2509.01667v1, main.tex Table 1
#   "Distance moduli and uncertainties from JWST and HST" (13 hosts).
#   arXiv e-print archive sha256:
#   fefae8d124cb178c22cc90a3984cc1838d999b8b17d7d2e019170dd9c740e33e
# Values are published distance moduli in mag and their tabulated 1-sigma
# uncertainties.  Shared-anchor covariance is not supplied in these tables;
# unweighted host-level inference is primary and inverse-variance estimates are
# explicitly labelled an independence-approximation sensitivity.
dataset,host,method_a,mu_a_mag,sigma_a_mag,method_b,mu_b_mag,sigma_b_mag,source_arxiv,source_table
cchp_trgb_jagb,M101,JAGB,29.208,0.045,TRGB,29.151,0.042,2408.06153,tab:distances
cchp_trgb_jagb,NGC1365,JAGB,31.384,0.039,TRGB,31.366,0.069,2408.06153,tab:distances
cchp_trgb_jagb,NGC2442,JAGB,31.605,0.044,TRGB,31.646,0.097,2408.06153,tab:distances
cchp_trgb_jagb,NGC4536,JAGB,30.971,0.034,TRGB,30.923,0.052,2408.06153,tab:distances
cchp_trgb_jagb,NGC4639,JAGB,31.733,0.039,TRGB,31.774,0.073,2408.06153,tab:distances
cchp_trgb_jagb,NGC5643,JAGB,30.582,0.038,TRGB,30.643,0.071,2408.06153,tab:distances
cchp_trgb_jagb,NGC7250,JAGB,31.592,0.043,TRGB,31.629,0.047,2408.06153,tab:distances
shoes_jwst_hst,NGC3147,JWST,32.92,0.05,HST,33.07,0.13,2509.01667,tab:moduli
shoes_jwst_hst,NGC2525,JWST,31.94,0.03,HST,32.04,0.07,2509.01667,tab:moduli
shoes_jwst_hst,NGC5861,JWST,32.11,0.04,HST,32.21,0.08,2509.01667,tab:moduli
shoes_jwst_hst,NGC3370,JWST,32.22,0.03,HST,32.23,0.06,2509.01667,tab:moduli
shoes_jwst_hst,NGC5643,JWST,30.49,0.02,HST,30.55,0.06,2509.01667,tab:moduli
shoes_jwst_hst,NGC7250,JWST,31.49,0.05,HST,31.64,0.13,2509.01667,tab:moduli
shoes_jwst_hst,NGC4536,JWST,30.92,0.03,HST,30.87,0.06,2509.01667,tab:moduli
shoes_jwst_hst,NGC3972,JWST,31.70,0.04,HST,31.64,0.09,2509.01667,tab:moduli
shoes_jwst_hst,NGC4424,JWST,31.05,0.13,HST,30.85,0.13,2509.01667,tab:moduli
shoes_jwst_hst,NGC4639,JWST,31.79,0.05,HST,31.82,0.09,2509.01667,tab:moduli
shoes_jwst_hst,M101,JWST,29.13,0.02,HST,29.19,0.05,2509.01667,tab:moduli
shoes_jwst_hst,NGC2442,JWST,31.44,0.03,HST,31.46,0.07,2509.01667,tab:moduli
shoes_jwst_hst,NGC1365,JWST,31.31,0.03,HST,31.38,0.06,2509.01667,tab:moduli
