source_id,source_class,report_disposition,report_role,representation_family,evidence_grade_at_a2,duplicate_group,duplicate_owner,parent_source_id,successor_node
PILLAR_T:VT-T1,EXACT_OR_CONDITIONAL,INCLUDED,APPENDIX_SUPPORTING,PHYSICAL_KINEMATICS,HISTORICAL_EXACT_CURRENT_BINDING_REQUIRED,,,,
PILLAR_T:VT-T2,EXACT_OR_CONDITIONAL,EXCLUDED,OUT_OF_REPORT_SCOPE,GENERAL_ANCHOR_GEOMETRY,HISTORICAL_EXACT_CURRENT_BINDING_REQUIRED,,,,
PILLAR_T:VT-T3,EXACT_OR_CONDITIONAL,EXCLUDED,OUT_OF_REPORT_SCOPE,GENERAL_ANCHOR_GEOMETRY,HISTORICAL_EXACT_CURRENT_BINDING_REQUIRED,,,,
PILLAR_T:VT-T4,EXACT_OR_CONDITIONAL,INCLUDED,APPENDIX_SUPPORTING,MES_ANCHOR_GEOMETRY,HISTORICAL_EXACT_CURRENT_BINDING_REQUIRED,,,,
PILLAR_T:VT-T5,EXACT_OR_CONDITIONAL,DEFERRED,SUCCESSOR_PHYSICAL_STATE_GEOMETRY,PHYSICAL_SHEAR_ORBIT,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,,,,P2_OR_SEPARATE_PHYSICAL_GEOMETRY
PILLAR_T:VT-T6,EXACT_OR_CONDITIONAL,INCLUDED,APPENDIX_SUPPORTING,GENERIC_STF2_ALGEBRA,DERIVED_AND_HISTORICAL_CAS4,TRACEFREE_3X3_CAYLEY_HAMILTON,TRUE,,
PILLAR_T:VT-T7,EXACT_OR_CONDITIONAL,INCLUDED,CORE_SUPPORTING,GENERIC_STF2_KRYLOV,DERIVED_AND_HISTORICAL_CAS4,KRYLOV_GRAM_CYCLICITY,TRUE,,
PILLAR_T:VT-T9,EXACT_OR_CONDITIONAL,INCLUDED,CORE_SUPPORTING,O3_SO3_PARITY,DERIVED_AND_HISTORICAL_EXACT,,,,
PILLAR_T:VT-T10,EXACT_OR_CONDITIONAL,EXCLUDED,OUT_OF_REPORT_SCOPE,GENERAL_ANCHOR_GEOMETRY,HISTORICAL_EXACT_CURRENT_BINDING_REQUIRED,,,,
PILLAR_T:VT-T11,EXACT_OR_CONDITIONAL,INCLUDED,CORE_THEOREM_CANDIDATE,RESPONSE_IDENTIFIABILITY,DERIVED_AND_HISTORICAL_CONDITIONAL_LINEAR_ALGEBRA,,,,
PILLAR_T:VT-T12,EXACT_OR_CONDITIONAL,INCLUDED,APPENDIX_SUPPORTING,RESPONSE_IDENTIFIABILITY,LITERATURE_SUPPORTED_AND_HISTORICAL_CONDITIONAL_LINEAR_ALGEBRA,,,,
PILLAR_S:I-2.1,EXACT_OR_CONDITIONAL,EXCLUDED,REPRESENTATION_MISMATCH,JOINT_VECTOR_TENSOR_V2,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,,,,
PILLAR_S:I-2.2,EXACT_OR_CONDITIONAL,EXCLUDED,DUPLICATE_EXACT_CORE,GENERIC_STF2_ALGEBRA,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,TRACEFREE_3X3_CAYLEY_HAMILTON,FALSE,,
PILLAR_S:I-2.3,EXACT_OR_CONDITIONAL,EXCLUDED,DUPLICATE_EXACT_CORE,GENERIC_STF2_KRYLOV,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,KRYLOV_GRAM_CYCLICITY,FALSE,,
PILLAR_S:I-2.9,EXACT_OR_CONDITIONAL,EXCLUDED,REPRESENTATION_MISMATCH,JOINT_VECTOR_TENSOR_V2,HISTORICAL_CAS4_CURRENT_REPLAY_INCOMPLETE,,,,
