source_id,theory_pack,report_section,report_use,remaining_gate
PILLAR_T:VT-T1,T3,appendix_conventions,APPENDIX_SUPPORTING,DIRECT_REDERIVATION_AND_CONVENTION_BINDING
PILLAR_T:VT-T4,T3,mes_conditional_geometry,APPENDIX_SUPPORTING,DIRECT_REDERIVATION
PILLAR_T:VT-T6,T2,appendix_qo_orbit_algebra,APPENDIX_SUPPORTING,DIRECT_REDERIVATION
PILLAR_T:VT-T7,T2,qo_orbit_geometry,CORE_SUPPORTING,DIRECT_REDERIVATION
PILLAR_T:VT-T9,T2,qo_orbit_geometry,CORE_SUPPORTING,PARITY_AND_REFLECTION_RECEIPT
PILLAR_T:VT-T11,T6,processed_response_quotient,CORE_THEOREM_CANDIDATE,DIRECT_REDERIVATION
PILLAR_T:VT-T12,T6,response_limited_identifiability,APPENDIX_SUPPORTING,LITERATURE_AND_GAP_SCOPE
PILLAR_S:I-5.3,T3,mes_conditional_geometry,CORE_THEOREM_CANDIDATE,DIRECT_PROOF_AND_PREMISE_MATRIX
PILLAR_S:I-5.4,T6,processed_response_quotient,APPENDIX_SUPPORTING,DIRECT_REDERIVATION
PILLAR_S:VT-S1,T4,information_preservation_under_tensorization,CORE_THEOREM_CANDIDATE,DIRECT_PROOF_AND_DECISION_SCOPE
PILLAR_S:VT-S4,T4,finite_null_statistics,APPENDIX_SUPPORTING,DIRECT_PROOF_AND_SAMPLING_LAW_BINDING
PILLAR_S:VT-S3,T4,synthetic_validation_appendix,SYNTHETIC_VALIDATION,SYNTHETIC_LABEL_AND_RECEIPT
PILLAR_S:VT-S9,T4,synthetic_validation_appendix,SYNTHETIC_VALIDATION,SYNTHETIC_LABEL_AND_RECEIPT
PILLAR_S:VT-S10,T8,synthetic_validation_appendix,SYNTHETIC_VALIDATION,SYNTHETIC_LABEL_AND_RECEIPT
PILLAR_S:VT-S11,T6,synthetic_validation_appendix,SYNTHETIC_VALIDATION,SYNTHETIC_LABEL_AND_RECEIPT
PILLAR_S:VT-S12,T4,synthetic_validation_appendix,SYNTHETIC_VALIDATION,SYNTHETIC_LABEL_AND_RECEIPT
