epsilon1,observed_sigma2_max,observed_w2_max,sigma_ratio_to_epsilon1_zero,w_ratio_to_epsilon1_zero,LEGACY_ABSOLUTE_MEDIAN_V1,LOO_ECDF_MIDRANK_V1
0.0,2.4000870221758445e-10,3.0061887930898035e-13,1.0,1.0,98,148
1.0000000000000001e-07,2.463750388653329e-10,9.149601892222652e-13,1.0265254409066256,3.043588584075108,98,148
2.0000000000000002e-07,2.5282470884641475e-10,1.862634832468884e-12,1.0533980914459165,6.196000852476207,98,148
3.0000000000000004e-07,2.5935771216082986e-10,3.143642809048836e-12,1.0806179516178718,10.457236805203292,98,148
4.0000000000000003e-07,2.6597404880857833e-10,4.7579841189621206e-12,1.108185021422492,15.827296442256365,98,148
5.000000000000001e-07,2.726737187896601e-10,6.7056587622087416e-12,1.136099300859777,22.306179763635438,98,148
6.000000000000001e-07,2.794567221040753e-10,8.986666738788692e-12,1.1643607899297272,29.893886769340487,98,148
7.000000000000001e-07,2.863230587518238e-10,1.1601008048701978e-11,1.192969488632342,38.59041745937153,98,148
8.000000000000001e-07,2.9327272873290553e-10,1.4548682691948595e-11,1.2219253969676214,48.39577183372855,98,148
9.000000000000001e-07,3.0030573204732074e-10,1.782969066852855e-11,1.2512285149355662,59.30994989241159,98,148
1.0000000000000002e-06,3.074220686950692e-10,2.1444031978441838e-11,1.2808788425361757,71.3329516354206,98,148
1.1e-06,3.14621738676151e-10,2.5391706621688448e-11,1.3108763797694496,84.46477706275557,98,148
1.2000000000000002e-06,3.219047419905661e-10,2.967271459826841e-11,1.3412211266353886,98.70542617441659,98,148
1.3e-06,3.2927107863831466e-10,3.428705590818169e-11,1.3719130831339927,114.05489897040354,98,148
1.4000000000000001e-06,3.3672074861939646e-10,3.923473055142831e-11,1.4029522492652615,130.51319545071652,98,148
1.5e-06,3.4425375193381156e-10,4.451573852800827e-11,1.434338625029195,148.0803156153555,98,148
1.6000000000000001e-06,3.5187008858156013e-10,5.013007983792154e-11,1.4660722104257937,166.75625946432038,98,148
1.7000000000000002e-06,3.595697585626419e-10,5.6077754481168175e-11,1.4981530054550567,186.54102699761137,98,148
1.8000000000000001e-06,3.6735276187705703e-10,6.235876245774813e-11,1.5305810101169848,207.43461821522828,98,148
1.9000000000000002e-06,3.752190985248055e-10,6.897310376766141e-11,1.563356224411578,229.43703311717118,98,148
2.0000000000000003e-06,3.831687685058875e-10,7.592077841090805e-11,1.5964786483388362,252.54827170344015,98,148
2.1000000000000002e-06,3.9120177182030253e-10,8.320178638748798e-11,1.6299482818987585,276.76833397403493,98,148
2.2e-06,3.99318108468051e-10,9.081612769740124e-11,1.6637651250913459,302.0972199289558,98,148
2.3e-06,4.075177784491328e-10,9.876380234064788e-11,1.6979291779165984,328.5349295682027,98,148
2.4000000000000003e-06,4.1580078176354794e-10,1.0704481031722785e-10,1.7324404403745155,356.0814628917756,98,148
2.5e-06,4.241671184112964e-10,1.1565915162714112e-10,1.7672989124650973,384.7368198996744,98,148
