cell,coordinate_index,duplicate_count,spearman_participation_ratio
EPS_LINEAR,0,0,5.9729711739958775
EPS_LINEAR,1,0,5.9729711739958775
EPS_LINEAR,2,0,5.9729711739958775
EPS_LINEAR,3,0,5.9729711739958775
EPS_LINEAR,4,0,5.9729711739958775
EPS_LINEAR,5,0,5.9729711739958775
EPS_LINEAR,6,0,5.9729711739958775
EPS_LINEAR,7,0,5.9729711739958775
EPS_LINEAR,8,0,5.9729711739958775
EPS_LINEAR,9,0,5.9729711739958775
SQUARE_ONLY,0,0,5.9729711739958775
SQUARE_ONLY,1,0,5.9729711739958775
SQUARE_ONLY,2,0,5.9729711739958775
SQUARE_ONLY,3,0,5.9729711739958775
SQUARE_ONLY,4,0,5.9729711739958775
SQUARE_ONLY,5,0,5.9729711739958775
SQUARE_ONLY,6,0,5.9729711739958775
SQUARE_ONLY,7,0,5.9729711739958775
SQUARE_ONLY,8,0,5.9729711739958775
SQUARE_ONLY,9,0,5.9729711739958775
CARRIER_ONLY,0,0,5.278115984365357
CARRIER_ONLY,1,0,5.278115984365357
CARRIER_ONLY,2,0,5.278115984365357
CARRIER_ONLY,3,0,5.278115984365357
CARRIER_ONLY,4,0,5.278115984365357
CARRIER_ONLY,5,0,5.278115984365357
CARRIER_ONLY,6,0,5.278115984365357
CARRIER_ONLY,7,0,5.278115984365357
CARRIER_ONLY,8,0,5.278115984365357
CARRIER_ONLY,9,0,5.278115984365357
MES_SQUARED,0,0,5.278115984365357
MES_SQUARED,1,0,5.278115984365357
MES_SQUARED,2,0,5.278115984365357
MES_SQUARED,3,0,5.278115984365357
MES_SQUARED,4,0,5.278115984365357
MES_SQUARED,5,0,5.278115984365357
MES_SQUARED,6,0,5.278115984365357
MES_SQUARED,7,0,5.278115984365357
MES_SQUARED,8,0,5.278115984365357
MES_SQUARED,9,0,5.278115984365357
