feature_id,family_membership,observed_status,observed_value,parity,tail,units,LEGACY_ABSOLUTE_MEDIAN_V1_local_rank_numerator,LOO_ECDF_MIDRANK_V1_local_rank_numerator
q2,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,1187.7466992941445,EVEN,two-sided,microK_CMB^2,86,34
q3,[],AVAILABLE,-1237.2230411260653,EVEN,two-sided,microK_CMB^3,,
J_Q,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,-0.07403513561891077,EVEN,two-sided,dimensionless,248,248
o2,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,9340.678305804555,EVEN,two-sided,microK_CMB^2,241,242
R_v0_normalized,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,0.4727877229344107,EVEN,upper,dimensionless,4,4
R_v1_normalized,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,-0.07158477635592822,EVEN,two-sided,dimensionless,114,118
R_v2_normalized,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,0.23711304556924695,EVEN,upper,dimensionless,4,4
R_QS_normalized,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,0.000993760559283248,EVEN,two-sided,dimensionless,282,284
K_v_normalized,"[""OBSERVABLE_IRREP_ORBIT_V1"",""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,-0.0053222686708980105,PSEUDOSCALAR,two-sided,dimensionless,80,80
Q_galactic_pole_power,"[""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,0.12958705043330215,EVEN,upper,dimensionless,,
O_galactic_pole_power,"[""OBSERVABLE_IRREP_ORBIT_GALACTIC_V1""]",AVAILABLE,0.015943824397737165,EVEN,upper,dimensionless,,
