arm,template_id,amplitude,reducer,combiner,scalar_power,irrep_power,irrep_minus_scalar,arms_are_independent_replications
paired300,Q_AXIAL,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0584375,0.0465625,-0.011875000000000004,False
paired300,Q_AXIAL,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.070625,0.0478125,-0.022812499999999993,False
paired300,Q_AXIAL,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.2315625,0.11875,-0.11281250000000001,False
paired300,Q_AXIAL,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9528125,0.908125,-0.04468749999999999,False
paired300,Q_AXIAL,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
paired300,Q_AXIAL,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
paired300,O_PLANAR,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0315625,0.060625,0.029062499999999998,False
paired300,O_PLANAR,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0228125,0.1246875,0.10187500000000001,False
paired300,O_PLANAR,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0209375,0.64375,0.6228125,False
paired300,O_PLANAR,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0240625,1.0,0.9759375,False
paired300,O_PLANAR,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.136875,1.0,0.863125,False
paired300,O_PLANAR,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.815625,1.0,0.18437499999999996,False
paired300,MIX_AXIAL,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.04125,0.0453125,0.004062499999999997,False
paired300,MIX_AXIAL,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0346875,0.0878125,0.053125,False
paired300,MIX_AXIAL,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0784375,0.3128125,0.234375,False
paired300,MIX_AXIAL,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.6921875,0.9859375,0.29375000000000007,False
paired300,MIX_AXIAL,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
paired300,MIX_AXIAL,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
paired300,MIX_PLANAR,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0315625,0.044375,0.012812499999999998,False
paired300,MIX_PLANAR,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0359375,0.080625,0.044687500000000005,False
paired300,MIX_PLANAR,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.07125,0.3103125,0.2390625,False
paired300,MIX_PLANAR,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.69625,0.9825,0.28625,False
paired300,MIX_PLANAR,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
