absent_feature_ids,krylov_plane_status,krylov_rank,mixed_vector_status,primary_family_disposition,q_spectrum_status,row_id,row_index
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,PLANCK-PR3-SMICA-OBSERVED,0
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00000,1
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00001,2
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00002,3
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00003,4
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00004,5
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00005,6
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00006,7
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00007,8
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00008,9
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00009,10
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00010,11
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00011,12
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00012,13
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00013,14
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00014,15
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00015,16
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00016,17
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00017,18
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00018,19
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00019,20
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00020,21
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00021,22
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00022,23
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00023,24
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00024,25
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00025,26
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00026,27
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00027,28
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00028,29
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00029,30
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00030,31
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00031,32
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00032,33
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00033,34
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00034,35
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00035,36
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00036,37
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00037,38
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00038,39
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00039,40
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00040,41
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00041,42
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00042,43
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00043,44
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00044,45
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00045,46
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00046,47
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00047,48
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00048,49
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00049,50
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00050,51
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00051,52
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00052,53
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00053,54
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00054,55
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00055,56
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00056,57
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00057,58
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00058,59
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00059,60
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00060,61
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00061,62
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00062,63
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00063,64
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00064,65
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00065,66
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00066,67
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00067,68
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00068,69
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00069,70
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00070,71
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00071,72
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00072,73
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00073,74
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00074,75
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00075,76
[],AVAILABLE,3,AVAILABLE,COMPLETE,SIMPLE,FFP10-SMICA-CMB-00076,77
