descending_index,exact,full_n8_l7,full_n16_l7,full_n32_l7,full_n32_l12,structural_null
1,4.58257569495584,4.582723799250301,4.58258472962038,4.582576255865478,4.582576255793378,False
2,4.58257569495584,4.582723799250301,4.582584729620374,4.582576255865478,4.582576255793377,False
3,4.58257569495584,4.582611448463428,4.582577829111163,4.582575826928616,4.582575826921438,False
4,4.58257569495584,4.582580257254176,4.58257597054439,4.582575712044527,4.5825757120445365,False
5,4.58257569495584,4.582580238528056,4.582575970539728,4.5825757120445205,4.582575712044519,False
6,4.58257569495584,4.582579013676096,4.582575899410122,4.582575707687579,4.582575707687571,False
7,4.58257569495584,4.582579013676095,4.58257589941012,4.582575707687577,4.582575707687568,False
8,4.58257569495584,4.582576718256463,4.5825757334679755,4.5825756971998315,4.5825756971998315,False
9,4.58257569495584,4.582576160593482,4.582575731405799,4.582575697191889,4.582575697191895,False
10,4.076197322920545,4.1115797033238755,4.08453965284032,4.078253447505128,4.078253447539066,False
11,4.076197322920545,4.081413390815913,4.077017661630057,4.07638918565434,4.076389185654344,False
12,4.076197322920545,4.078348922346933,4.076967129859295,4.076388385453404,4.076388385453401,False
13,4.076197322920545,4.076885849712933,4.076357215866857,4.076236575858112,4.076236575858109,False
14,4.076197322920545,4.076885849712923,4.076357215866853,4.076236575858109,4.0762365758581005,False
15,4.076197322920545,4.076428973081856,4.076255956973596,4.076212025257073,4.076212025257068,False
16,4.076197322920545,4.076428425501812,4.076255956938604,4.076212025257061,4.076212025257058,False
17,4.076197322920545,4.0755576811806575,4.07603924755602,4.076158768357881,4.076158768357883,False
18,4.076197322920545,4.075557681180642,4.076039247556018,4.076158768357881,4.0761587683578755,False
19,4.076197322920545,4.074573251758753,4.075805635334898,4.076100739629575,4.076100739629578,False
20,4.076197322920545,4.074499955670486,4.075805556539124,4.076100739550793,4.076100739550803,False
21,4.076197322920545,4.056282477930102,4.071566999234772,4.075059265149516,4.075059265035011,False
22,4.076197322920545,4.056282477930101,4.071566999234772,4.075059265149512,4.075059265035009,False
23,3.605551275463989,3.6056565554052433,3.605557928539734,3.605551692239626,3.6055516921670776,False
24,3.605551275463989,3.605656555405243,3.6055579285397283,3.605551692239625,3.6055516921670754,False
25,3.605551275463989,3.6056476708893945,3.605556698742845,3.605551606123395,3.605551606112315,False
26,3.605551275463989,3.6055591328392,3.605551753254794,3.6055513051193575,3.605551305119354,False
27,3.605551275463989,3.605559132839181,3.6055517532547934,3.605551305119352,3.6055513051193526,False
28,3.605551275463989,3.6055525442263736,3.605551345313266,3.6055512797757268,3.605551279775717,False
29,3.605551275463989,3.605552280460824,3.605551344287008,3.605551279771726,3.6055512797717193,False
30,3.3709993123162105,3.392545171737904,3.376222673758198,3.3722953163913907,3.372295316439512,False
31,3.3709993123162105,3.373469591697862,3.371426987014025,3.371100751936345,3.3711007519363267,False
32,3.3709993123162105,3.3723288133918086,3.3714084694520556,3.37110045984144,3.3711004598414163,False
33,3.3709993123162105,3.371406493477754,3.3710908937481943,3.371021669332495,3.3710216693324924,False
34,3.3709993123162105,3.3713955363695125,3.371090882408293,3.3710216693212502,3.3710216693212476,False
35,3.3709993123162105,3.3713208886614003,3.371079443599926,3.371019326662018,3.3710193266620165,False
36,3.3709993123162105,3.371320888661399,3.371079443599925,3.371019326662012,3.37101932666201,False
37,3.3709993123162105,3.3688067843033194,3.3704807381799657,3.370871674806709,3.3708716748067014,False
38,3.3709993123162105,3.3688067843033176,3.370480738179962,3.3708716748067085,3.370871674806701,False
39,3.3709993123162105,3.3597654036883395,3.36831424202229,3.3703351681195217,3.370335167981888,False
40,3.3709993123162105,3.3597654036883373,3.368314242022289,3.370335168119509,3.370335167981881,False
41,2.32379000772445,2.3237895593427953,2.32378997968824,2.3237900059769405,2.3237900059769405,False
42,2.32379000772445,2.323789544409995,2.3237899796236006,2.3237900059766847,2.3237900059766874,False
43,2.32379000772445,2.3237721119509755,2.32378894909341,2.323789942369697,2.323789942355296,False
44,2.32379000772445,2.3237721119509716,2.3237889490934074,2.323789942369697,2.3237899423552957,False
45,2.32379000772445,2.3237293309572946,2.3237862806195673,2.3237897757565187,2.3237897757424992,False
46,1.632993161855452,1.6329879493875297,1.6329928486548766,1.6329931424587472,1.6329931424507613,False
47,1.632993161855452,1.6329879493875294,1.6329928486548762,1.6329931424587454,1.6329931424507602,False
48,1.632993161855452,1.6329644025146335,1.6329913984984523,1.6329930521585743,1.6329930521429918,False
49,0.0,0.0,0.0,0.0,0.0,True
