case_id,source_ell,metric_frobenius_norm,metric_operator_norm,cumulative_tail_to_neighbor,projection_fraction_into_registered_image,minimum_principal_angle_degrees,content_id
FULL_IDENTITY,7,0.025579626549130718,0.017538311642438627,0.003845897804478121,0.5408678579126386,0.0,sha256:33c313dc2b2b3b4789a6777b7dfef0fd558f9846aa263992e0f732d19f4bceb0
FULL_IDENTITY,8,0.03558007516916855,0.024629891934769263,0.003845897804478121,0.5408678579126386,0.0,sha256:60a6e5e8bb32ceef43092a5ae51c8a3bee03e06c910897b2870391b121e38b7d
FULL_IDENTITY,9,0.0357012858724621,0.0247248654581765,0.003845897804478121,0.5408678579126386,0.0,sha256:8671e3c42a0f9d184df9a0a6c6b26281b5ba07533bc9e36e90c23e8f05087622
BINARY_Z_IDENTITY,7,3120.2080146462185,1983.987887343087,403.6084684769834,0.9999867823217686,0.0,sha256:a62d9931b8260860c4258d68bc1ad1698a8546bc22d7dfc146629b5dc615cf4b
BINARY_Z_IDENTITY,8,3403.984885320202,2268.518195932776,403.6084684769834,0.9999867823217686,0.0,sha256:5c0411ae1cc96a06ab56858e919f8c31d3aa7c42af29bc145664aa2dc6d1da1b
BINARY_Z_IDENTITY,9,3723.3781259985467,2486.0801528940283,403.6084684769834,0.9999867823217686,0.0,sha256:7462100d341e16c3e41ead7e067c16748c6d34c4805dad30b8e9f434d536d639
APODIZED_Z_NARROW_IDENTITY,7,1209.5990705878519,687.3788687985073,156.25083050920927,0.9998948709606144,0.0,sha256:d2d53df61a35f76fcb9d7826b5c9af94e08999b91bab81cc14ef6e3eb8e2e2b3
APODIZED_Z_NARROW_IDENTITY,8,1116.9416414527852,718.1262601772562,156.25083050920927,0.9998948709606144,0.0,sha256:bc06a8ce66367f286e3131f7fb2d28e3d150e32481bb950e61ab30b6efbd723a
APODIZED_Z_NARROW_IDENTITY,9,1600.87632445825,1465.7617275124658,156.25083050920927,0.9998948709606144,0.0,sha256:147aadb6e038603b64678396f6a70fe6a1efc5301d40b1159db282d012bf2641
APODIZED_Z_REFERENCE_IDENTITY,7,257.84857998564894,169.5799977257913,38.08519971997303,0.9989560126232241,0.0,sha256:8ff1212a2285e5958050c7d5228b526e8c2c1e193cb592ccbc7af5f0a527acb8
APODIZED_Z_REFERENCE_IDENTITY,8,416.97817121904245,349.7605031077048,38.08519971997303,0.9989560126232241,0.0,sha256:fed4a4aa987d287e0183691bc547b66a7d5dcaf370b3fbf166033544b4774741
APODIZED_Z_REFERENCE_IDENTITY,9,270.08798640003886,258.51126580127846,38.08519971997303,0.9989560126232241,0.0,sha256:27506ed174794a1fa732b689cf9062ebf5162408e015afc8da9a3a8b55003e89
APODIZED_Z_WIDE_IDENTITY,7,58.56989543553429,43.22744399142194,5.278661927443304,0.9612073252179533,0.0,sha256:4e8619eee5ffb46836a6ac3add8baf17acb764045464792c957e006ae2ca3157
APODIZED_Z_WIDE_IDENTITY,8,45.550317388983466,34.18718125296514,5.278661927443304,0.9612073252179533,0.0,sha256:8dee6525c7934cab78dd7ddf096c8c5cce9b2a55bf29cb437bebee5f2b6f326f
APODIZED_Z_WIDE_IDENTITY,9,22.658742644722217,19.7690479455813,5.278661927443304,0.9612073252179533,0.0,sha256:aa0357348223c0bc220c002be9b2bc5da6775e19d44dfb4840bde94b9f678e61
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,7,214.8416548151439,141.6732385315259,34.19760003228912,0.9985111317604022,0.0,sha256:606cfda59f491d807755774359ee2d8f1afad069312b1d5393b7e12fe85f80a1
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,8,345.4184400411843,285.3329864284851,34.19760003228912,0.9985111317604022,0.0,sha256:64e901f2bf17def1946e84a74df08f92dd3d3c439b47f14375f85c8c157a6dfc
APODIZED_Z_REFERENCE_MATCHED_GAUSSIAN,9,209.63669257975803,197.51696521875857,34.19760003228912,0.9985111317604022,0.0,sha256:7c262a7b94cabf471551815421564baa4ac16269deb2cb3a25eafa01d18955f0
APODIZED_Z_REFERENCE_GAUSSIAN,7,207.21828064230522,136.88894023712874,36.93999953886592,0.9986547417047302,0.0,sha256:ae2055c43e71335a7e34732539681f7952627c622de55a96acd2828d8cf92341
APODIZED_Z_REFERENCE_GAUSSIAN,8,333.53523753400543,275.87947683363853,36.93999953886592,0.9986547417047302,0.0,sha256:b8d85b9939d99bebcb37d8ee69b7706d543ccc4c46e51ae2f5e06e5307eaebe5
APODIZED_Z_REFERENCE_GAUSSIAN,9,203.04530618905343,191.33408320924318,36.93999953886592,0.9986547417047302,0.0,sha256:81d688492c2674543af5ed933c1af3cebff01a0de7df6f631cd9122ae3f9d90f
