direction_id,source_cutoff,control_safety_factor,rank_status,high_rank,surviving_rank,augmented_rank_increment,containment_witness,smallest_singular_value,high_threshold,smallest_singular_over_threshold,control_operator_norm,cutsky_operator_norm,control_to_cutsky_operator_ratio,decision_label,decision_code
D111,9,5.0,AMBIGUOUS,16,,,,0.00021740521404165305,0.12418635992625471,0.00175063681849403,0.02483727198525094,39.40646503654648,0.0006302841922566836,A,0
D11M1,9,5.0,AMBIGUOUS,16,,,,0.00021740521404177684,0.12418635992625476,0.0017506368184950262,0.02483727198525095,39.40646503654649,0.0006302841922566836,A,0
D1M11,9,5.0,AMBIGUOUS,16,,,,0.00021740521404191673,0.12418635992625468,0.0017506368184961537,0.024837271985250937,39.40646503654649,0.0006302841922566833,A,0
X,9,5.0,AMBIGUOUS,16,,,,1.2606774144216876e-09,0.15093577977919662,8.352409324455261e-09,0.030187155955839325,26.204247124710733,0.001151994782073807,A,0
Y,9,5.0,AMBIGUOUS,16,,,,1.2606773973244711e-09,0.15093577977919095,8.3524092111808e-09,0.03018715595583819,26.204247124710747,0.001151994782073763,A,0
Z,9,5.0,RESOLVED,21,11,11,False,1.6784392145863255e-08,0.024062968599717467,6.97519596400102e-07,0.004812593719943493,57.354126861316495,8.391015578670473e-05,S,1
D111,12,5.0,AMBIGUOUS,16,,,,0.008914577792809136,0.2291759063327652,0.038898407496052834,0.04583518126655304,41.16460992307608,0.0011134608429960787,A,0
D11M1,12,5.0,AMBIGUOUS,16,,,,0.00891457779280914,0.22917590633276508,0.03889840749605287,0.04583518126655302,41.164609923076085,0.001113460842996078,A,0
D1M11,12,5.0,AMBIGUOUS,16,,,,0.008914577792809204,0.2291759063327646,0.03889840749605323,0.04583518126655292,41.164609923076085,0.0011134608429960757,A,0
X,12,5.0,AMBIGUOUS,16,,,,0.009971087802354523,0.27949076598864275,0.03567591139222003,0.05589815319772855,28.707669990403502,0.0019471504729019935,A,0
Y,12,5.0,AMBIGUOUS,16,,,,0.009971087802354775,0.2794907659886485,0.0356759113922202,0.05589815319772971,28.70766999040349,0.0019471504729020345,A,0
Z,12,5.0,AMBIGUOUS,26,,,,0.00716425866922509,0.035107697524835516,0.2040651815504855,0.007021539504967103,58.60370464491878,0.00011981391871914541,A,0
D111,16,5.0,AMBIGUOUS,16,,,,0.010324409794261543,0.41467876520612207,0.024897367940047873,0.08293575304122441,42.027857759787196,0.0019733519018563547,A,0
D11M1,16,5.0,AMBIGUOUS,16,,,,0.010324409794261446,0.4146787652061219,0.02489736794004765,0.08293575304122439,42.02785775978718,0.0019733519018563547,A,0
D1M11,16,5.0,AMBIGUOUS,16,,,,0.010324409794261533,0.4146787652061219,0.02489736794004786,0.08293575304122439,42.0278577597872,0.0019733519018563534,A,0
X,16,5.0,AMBIGUOUS,16,,,,0.012694169627597588,0.5060653132023758,0.025084053967795224,0.10121306264047515,29.627463143329223,0.0034161906522618963,A,0
Y,16,5.0,AMBIGUOUS,16,,,,0.012694169627597904,0.5060653132023818,0.025084053967795554,0.10121306264047636,29.627463143329216,0.003416190652261938,A,0
Z,16,5.0,AMBIGUOUS,26,,,,0.009874615624185715,0.05935869097538948,0.16635500988860752,0.011871738195077896,59.488101830824284,0.00019956491852504278,A,0
