source_case_id,control_case_id,direction_id,source_cutoff,control_safety_factor,rank_status,low_rank,high_rank,surviving_rank,augmented_rank_increment,rank_identity_holds,containment_witness,surviving_frobenius_fraction,high_threshold,control_operator_norm,cutsky_operator_norm,control_to_cutsky_operator_ratio,analysis_content_id
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,9,2.0,AMBIGUOUS,32,22,,,,,,0.06037431191167865,0.030187155955839325,26.204247124710733,0.001151994782073807,sha256:d17d080c09dd72573c1a5077a867ea80e02617d33260d4c27c82477ad6ba72bb
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,9,5.0,AMBIGUOUS,32,16,,,,,,0.15093577977919662,0.030187155955839325,26.204247124710733,0.001151994782073807,sha256:fee57e52bb96ef98f36da0d6d599d1fd591d2deb539ed29b3b3bdd18d7dee798
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,9,10.0,AMBIGUOUS,32,16,,,,,,0.30187155955839323,0.030187155955839325,26.204247124710733,0.001151994782073807,sha256:f65b68f2fa4da0da747482e07f30b5942b1f036bc6368af721a5e7e7ab1fe632
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,9,2.0,AMBIGUOUS,32,22,,,,,,0.06037431191167638,0.03018715595583819,26.204247124710747,0.001151994782073763,sha256:2d7a972a75417c343458ef84ba81a32d9ccdf76467cde82754e37600eb24ff48
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,9,5.0,AMBIGUOUS,32,16,,,,,,0.15093577977919095,0.03018715595583819,26.204247124710747,0.001151994782073763,sha256:76d904d46f7358cfbff6bca831c70f1f9bc3bd91cfc5036ac74083d461f3390b
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,9,10.0,AMBIGUOUS,32,16,,,,,,0.3018715595583819,0.03018715595583819,26.204247124710747,0.001151994782073763,sha256:a8ad5763e05d05423d7dd885dc2e307cb8a3cda592d45a185e6e3168ddce57a6
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,9,2.0,AMBIGUOUS,32,23,,,,,,0.009625187439886987,0.004812593719943493,57.354126861316495,8.391015578670473e-05,sha256:1564ff642a6b0dd104e9a68a03a1b690ee77710cb7ba6aa88ea8eb00f4b25926
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,9,5.0,RESOLVED,32,21,11,11,True,False,0.18127109460557095,0.024062968599717467,0.004812593719943493,57.354126861316495,8.391015578670473e-05,sha256:29c4d3f0eab0006cade4c555af9140e442048d2fa80d1ba6470091ee8c058cc2
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,9,10.0,AMBIGUOUS,32,21,,,,,,0.048125937199434934,0.004812593719943493,57.354126861316495,8.391015578670473e-05,sha256:61112a4d84999dbdf0c35b4b66d6e1dc4825804b7f5dc12399ea3f4823347728
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,9,2.0,AMBIGUOUS,32,24,,,,,,0.04967454397050188,0.02483727198525094,39.40646503654648,0.0006302841922566836,sha256:d20f5b4a9ccde8068a1c88a7db227b676d9fec9b828af137d17c03c762831b3a
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,9,5.0,AMBIGUOUS,32,16,,,,,,0.12418635992625471,0.02483727198525094,39.40646503654648,0.0006302841922566836,sha256:f1792ce0d095e76e7691b4692add99510d0e75f16ea82bf921c958b197a0cad5
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,9,10.0,AMBIGUOUS,32,16,,,,,,0.24837271985250942,0.02483727198525094,39.40646503654648,0.0006302841922566836,sha256:db29a387599819b752721688b70cf7a8a632461021ee96dc45caeb5dcce72c2c
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D1M11,9,2.0,AMBIGUOUS,32,24,,,,,,0.049674543970501875,0.024837271985250937,39.40646503654649,0.0006302841922566833,sha256:a808aeb40f93e4cbe01deb699e9d76427d1d6da0dbbfdca7946b50230e6df5e7
