[#b7eb6c 315MiB/9.9GiB(3%) CN:8 DL:0B]
[#b7eb6c 315MiB/9.9GiB(3%) CN:8 DL:633KiB ETA:4h25m9s]
[#b7eb6c 317MiB/9.9GiB(3%) CN:8 DL:1.5MiB ETA:1h47m41s]
[#b7eb6c 319MiB/9.9GiB(3%) CN:8 DL:1.6MiB ETA:1h38m45s]
[#b7eb6c 321MiB/9.9GiB(3%) CN:8 DL:1.8MiB ETA:1h30m36s]
[#b7eb6c 323MiB/9.9GiB(3%) CN:8 DL:1.8MiB ETA:1h28m41s]
[#b7eb6c 325MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h25m25s]
[#b7eb6c 327MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h26m8s]
[#b7eb6c 329MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h24m26s]
[#b7eb6c 331MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h23m33s]
[#b7eb6c 333MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h22m50s]
[#b7eb6c 335MiB/9.9GiB(3%) CN:8 DL:2.0MiB ETA:1h19m11s]
[#b7eb6c 338MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h17m38s]
[#b7eb6c 340MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h17m13s]
[#b7eb6c 342MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m57s]
[#b7eb6c 344MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m10s]
[#b7eb6c 346MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m30s]
[#b7eb6c 348MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m37s]
[#b7eb6c 350MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m40s]
[#b7eb6c 353MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m32s]
[#b7eb6c 355MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m24s]
[#b7eb6c 357MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m23s]
[#b7eb6c 359MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m32s]
[#b7eb6c 361MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m32s]
[#b7eb6c 362MiB/9.9GiB(3%) CN:8 DL:2.0MiB ETA:1h21m7s]
[#b7eb6c 364MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h24m39s]
[#b7eb6c 365MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h25m24s]
[#b7eb6c 368MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h24m49s]
[#b7eb6c 370MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h25m18s]
[#b7eb6c 372MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h24m21s]
[#b7eb6c 374MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h25m16s]
[#b7eb6c 376MiB/9.9GiB(3%) CN:8 DL:1.9MiB ETA:1h24m30s]
[#b7eb6c 378MiB/9.9GiB(3%) CN:8 DL:1.8MiB ETA:1h25m42s]
[#b7eb6c 381MiB/9.9GiB(3%) CN:8 DL:2.0MiB ETA:1h19m19s]
[#b7eb6c 383MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m32s]
[#b7eb6c 385MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h14m5s]
[#b7eb6c 387MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m29s]
[#b7eb6c 389MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h14m13s]
[#b7eb6c 391MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m20s]
[#b7eb6c 394MiB/9.9GiB(3%) CN:8 DL:2.2MiB ETA:1h13m51s]
[#b7eb6c 395MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m21s]
[#b7eb6c 398MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m10s]
[#b7eb6c 400MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m2s]
[#b7eb6c 402MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h16m15s]
[#b7eb6c 405MiB/9.9GiB(3%) CN:8 DL:2.1MiB ETA:1h15m2s]
[#b7eb6c 407MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m46s]
[#b7eb6c 409MiB/9.9GiB(4%) CN:8 DL:2.1MiB ETA:1h14m43s]
[#b7eb6c 411MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m33s]
[#b7eb6c 413MiB/9.9GiB(4%) CN:8 DL:2.1MiB ETA:1h14m23s]
[#b7eb6c 415MiB/9.9GiB(4%) CN:8 DL:2.1MiB ETA:1h14m14s]
[#b7eb6c 418MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m32s]
[#b7eb6c 420MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m27s]
[#b7eb6c 422MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m51s]
[#b7eb6c 424MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m36s]
[#b7eb6c 427MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m18s]
[#b7eb6c 429MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m9s]
[#b7eb6c 431MiB/9.9GiB(4%) CN:8 DL:2.1MiB ETA:1h13m59s]
[#b7eb6c 433MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m39s]
[#b7eb6c 435MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h11m43s]
[#b7eb6c 438MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h11m26s]
 *** Download Progress Summary as of Sun Sep 13 12:10:57 2026 *** 
===============================================================================
[#b7eb6c 440MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m32s]
FILE: /home/cosmosapjw/.cache/htt-r9/sdss_pv_zenodo_6824749/mocks.tar.gz.partial
-------------------------------------------------------------------------------

[#b7eb6c 440MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m32s]
[#b7eb6c 442MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m28s]
[#b7eb6c 444MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m58s]
[#b7eb6c 447MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m12s]
[#b7eb6c 449MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m9s]
[#b7eb6c 451MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m7s]
[#b7eb6c 453MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h11m15s]
[#b7eb6c 456MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m13s]
[#b7eb6c 458MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h11m49s]
[#b7eb6c 460MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m46s]
[#b7eb6c 462MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m31s]
[#b7eb6c 464MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h13m5s]
[#b7eb6c 467MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h11m17s]
[#b7eb6c 469MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m37s]
[#b7eb6c 471MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m28s]
[#b7eb6c 473MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m32s]
[#b7eb6c 475MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m39s]
[#b7eb6c 478MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m51s]
[#b7eb6c 480MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m42s]
[#b7eb6c 482MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m9s]
[#b7eb6c 484MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m41s]
[#b7eb6c 486MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m3s]
[#b7eb6c 489MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h11m49s]
[#b7eb6c 491MiB/9.9GiB(4%) CN:8 DL:2.1MiB ETA:1h13m22s]
[#b7eb6c 493MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m39s]
[#b7eb6c 495MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h11m16s]
[#b7eb6c 497MiB/9.9GiB(4%) CN:8 DL:2.1MiB ETA:1h13m48s]
[#b7eb6c 500MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m22s]
[#b7eb6c 502MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m13s]
[#b7eb6c 504MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m11s]
[#b7eb6c 506MiB/9.9GiB(4%) CN:8 DL:2.2MiB ETA:1h12m6s]
[#b7eb6c 509MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m29s]
[#b7eb6c 511MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m53s]
[#b7eb6c 513MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m20s]
[#b7eb6c 515MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m2s]
[#b7eb6c 517MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m49s]
[#b7eb6c 520MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m]
[#b7eb6c 522MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m8s]
[#b7eb6c 524MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m10s]
[#b7eb6c 526MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m5s]
[#b7eb6c 528MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m12s]
[#b7eb6c 531MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m3s]
[#b7eb6c 532MiB/9.9GiB(5%) CN:8 DL:2.1MiB ETA:1h13m31s]
[#b7eb6c 535MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h10m49s]
[#b7eb6c 537MiB/9.9GiB(5%) CN:8 DL:2.1MiB ETA:1h13m8s]
[#b7eb6c 539MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m12s]
[#b7eb6c 542MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m]
[#b7eb6c 544MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m13s]
[#b7eb6c 546MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m23s]
[#b7eb6c 548MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m20s]
[#b7eb6c 550MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m31s]
[#b7eb6c 552MiB/9.9GiB(5%) CN:8 DL:2.1MiB ETA:1h14m6s]
[#b7eb6c 555MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h12m24s]
[#b7eb6c 557MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m34s]
[#b7eb6c 559MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m52s]
[#b7eb6c 561MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m36s]
[#b7eb6c 564MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m51s]
[#b7eb6c 566MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m40s]
[#b7eb6c 568MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m39s]
[#b7eb6c 570MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m27s]
[#b7eb6c 573MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m28s]
 *** Download Progress Summary as of Sun Sep 13 12:11:58 2026 *** 
===============================================================================
[#b7eb6c 575MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m32s]
FILE: /home/cosmosapjw/.cache/htt-r9/sdss_pv_zenodo_6824749/mocks.tar.gz.partial
-------------------------------------------------------------------------------

[#b7eb6c 575MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m32s]
[#b7eb6c 577MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m34s]
[#b7eb6c 579MiB/9.9GiB(5%) CN:8 DL:2.1MiB ETA:1h12m59s]
[#b7eb6c 581MiB/9.9GiB(5%) CN:8 DL:2.1MiB ETA:1h12m46s]
[#b7eb6c 584MiB/9.9GiB(5%) CN:8 DL:2.2MiB ETA:1h11m56s]
