source_id,path,commit,git_blob,sha256,bytes,report_sections,url,use
S01,docs/generated/tensor_joint_r8/final/REPORT.md,efc5f30666b96782f946375551f0068bb3a30f74,a0c1a82f38f1b53235a887e062b2b64e7ab1a910,74bf3e1033643d7ec7b21615a67e6db7fd65516cb2844840f5ff4c54c0cbeba4,6772,1;8;13;15;18;20;22;26;28,https://github.com/cosmosapjw-quantum/htt_base/blob/efc5f30666b96782f946375551f0068bb3a30f74/docs/generated/tensor_joint_r8/final/REPORT.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S02,docs/project_catalog/proofs/summary.json,9b725899a25fa410e7c3686ce36afaa667d14646,872a49ca62357a963bc456ae8d784ae36a122cbb,e471dc61024c93f17cbb7291e790f188a231277a2f2b344cb7d1f91c4651ad04,3164,25,https://github.com/cosmosapjw-quantum/htt_base/blob/9b725899a25fa410e7c3686ce36afaa667d14646/docs/project_catalog/proofs/summary.json,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S03,docs/project_catalog/proofs/roles/README.md,9b725899a25fa410e7c3686ce36afaa667d14646,b544bb7453bb72c6b1e53ce01732e49055c77867,5241a7d2c5f545c48655c9cec2dbcc4357c1ea36e76a30ecd05a0b2a64febf93,5550,1;25;27,https://github.com/cosmosapjw-quantum/htt_base/blob/9b725899a25fa410e7c3686ce36afaa667d14646/docs/project_catalog/proofs/roles/README.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S04,docs/research_reports/final_candidate_20260907/HTT_REPORT_A_EVIDENCE_INTEGRATED_R3.md,9b725899a25fa410e7c3686ce36afaa667d14646,e8566be7c8095c38befdbbdbe7851f9502510753,cc5a659a4e64e37f7028c00c526fc6fe4c6c7b2864859978c60d1195690a4f83,73395,2;6;8;9;12;16;20;22;23,https://github.com/cosmosapjw-quantum/htt_base/blob/9b725899a25fa410e7c3686ce36afaa667d14646/docs/research_reports/final_candidate_20260907/HTT_REPORT_A_EVIDENCE_INTEGRATED_R3.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S05,docs/research_reports/theory_packs/K1R_TYPED_KINEMATICAL_MES_THEOREM_PACK.md,9b725899a25fa410e7c3686ce36afaa667d14646,d93ab24adbb089e9d568512ebf10591dc6880414,194bde2aa224aa5a1e4881f65b70d738a92a185358f577a48d553d9e6edf6ecf,14962,2;6;16,https://github.com/cosmosapjw-quantum/htt_base/blob/9b725899a25fa410e7c3686ce36afaa667d14646/docs/research_reports/theory_packs/K1R_TYPED_KINEMATICAL_MES_THEOREM_PACK.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S06,docs/research_reports/theory_packs/T1_STORED_REAL_STF_THEOREM_PACK.md,9b725899a25fa410e7c3686ce36afaa667d14646,6c2480c3d1adc9e76344994dcf1fc2d5c11365f4,354de852829fa1ca1b863949ce2561c8a548da17b3a5afb0b781c2e445b0096b,4942,8,https://github.com/cosmosapjw-quantum/htt_base/blob/9b725899a25fa410e7c3686ce36afaa667d14646/docs/research_reports/theory_packs/T1_STORED_REAL_STF_THEOREM_PACK.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S07,docs/generated/tensor_joint_r8/representations/README.md,efc5f30666b96782f946375551f0068bb3a30f74,397eae39c77b2caec98c2d5e6caeac0db6990ec1,a3dc8ab2d5506883a7a5a5d6e259e2caa1c9901f8377e3711f7cb6135a518eb8,7871,8;23,https://github.com/cosmosapjw-quantum/htt_base/blob/efc5f30666b96782f946375551f0068bb3a30f74/docs/generated/tensor_joint_r8/representations/README.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S08,docs/research_reports/theory_packs/T2_QO_ORBIT_RECONSTRUCTION_THEOREM_PACK.md,9b725899a25fa410e7c3686ce36afaa667d14646,8e66a7bb698932a060cc60057e3541b782167d83,3f10e9f8199d27e5d36ab9f75400ad4c2792213aae70347e3c318bebeb95a0a9,11834,9,https://github.com/cosmosapjw-quantum/htt_base/blob/9b725899a25fa410e7c3686ce36afaa667d14646/docs/research_reports/theory_packs/T2_QO_ORBIT_RECONSTRUCTION_THEOREM_PACK.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S09,docs/research_program/tensor_joint_r8/THEORY.md,efc5f30666b96782f946375551f0068bb3a30f74,f90aeba66749b64cc4501915e5f8ac8d12d8766d,9a505ce0ab3de99a1dcad7f4397621cb639307b4bb42a735b910128646ee408f,21346,9;20;22,https://github.com/cosmosapjw-quantum/htt_base/blob/efc5f30666b96782f946375551f0068bb3a30f74/docs/research_program/tensor_joint_r8/THEORY.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
S10,docs/research_reports/theory_packs/T3_CONDITIONAL_MES_GEOMETRY_THEOREM_PACK.md,9b725899a25fa410e7c3686ce36afaa667d14646,80149f9d293fac2e4229968e7e3a2abb8e905437,2493f942d4977de596cfa1aedc3eff7a9392f80aaa209c045cc561c940ae9d01,8145,6,https://github.com/cosmosapjw-quantum/htt_base/blob/9b725899a25fa410e7c3686ce36afaa667d14646/docs/research_reports/theory_packs/T3_CONDITIONAL_MES_GEOMETRY_THEOREM_PACK.md,기존 수식·조건·구현 또는 기록의 정적 대조; 새 증명 아님
